yearmonth; kredyty_mieszkaniowe_sektora_dla_GD_mln_PLN 
1.01.2018;259101,657
1.02.2018;261308,746
1.03.2018;264056,734
1.04.2018;266679,224
1.05.2018;269216,296
1.06.2018;271908,983
1.07.2018;274668,174
1.08.2018;277467,699
1.09.2018;279672,791
1.10.2018;282662,181
1.11.2018;285209,632
1.12.2018;287731,805
1.01.2019;289827,879
1.02.2019;291761,132
1.03.2019;294409,217
1.04.2019;297648,128
1.05.2019;300925,54
1.06.2019;303919,853
1.07.2019;307560,904
1.08.2019;310580,196
1.09.2019;313998,695
1.10.2019;317721,648
1.11.2019;320181,421
1.12.2019;323119,037
1.01.2020;325792,998
1.02.2020;328475,712
1.03.2020;331749,03
1.04.2020;334827,497
1.05.2020;337486,45
1.06.2020;339903,431
1.07.2020;342374,381
1.08.2020;344414,805
1.09.2020;347394,449
1.10.2020;350464,448
1.11.2020;353340,606
1.12.2020;356281,223
1.01.2021;358263,609
1.02.2021;360399,733
1.03.2021;363877,562
1.04.2021;367557,769
1.05.2021;371323,662
1.06.2021;375528,925
1.07.2021;380047,845
1.08.2021;384481,083
1.09.2021;389054,296
1.10.2021;393896,906
1.11.2021;397298,095
1.12.2021;401058,978
1.01.2022;402541,613
1.02.2022;403389,461
1.03.2022;404452,074
1.04.2022;404440,245
1.05.2022;403558,378
1.06.2022;402243,509
1.07.2022;400283,458
1.08.2022;399710,102
1.09.2022;399326,222
1.10.2022;398334,458
1.11.2022;396886,865
1.12.2022;394964,642
1.01.2023;393051,929
1.02.2023;391221,88
1.03.2023;390390,329
1.04.2023;390109,78
1.05.2023;389911,031
1.06.2023;390655,077
1.07.2023;391433,934
1.08.2023;391716,779
1.09.2023;393821,416
1.10.2023;395990,159
1.11.2023;400147,965
1.12.2023;403771,051
1.01.2024;408389,945
1.02.2024;412451,344
1.03.2024;415785,855
1.04.2024;418406,655
1.05.2024;420591,879
1.06.2024;423266,203
1.07.2024;426233,339
1.08.2024;428563,549
1.09.2024;431027,428
1.10.2024;433558,692
1.11.2024;435592,059
