yearquarter;GDP_nominal_mln_PLN_current_prices;construction_sector_added_value_nominal_mln_PLN_current_prices;ITC_sector_added_value_nominal_mln_PLN_current_prices;industrial_processing_added_value_nominal_mln_PLN_current_prices;trade_and_repair_of_autos_added_value_nominal_mln_PLN_current_prices;exports_mln_PLN_current_prices;imports_mln_PLN_current_prices;final_consumption_expenditure_added_value_nominal_mln_PLN_current_prices;gross_capital_formation_added_value_nominal_mln_PLN_current_prices;dwellings_completed_thousands;dwellings_in_which_construction_has_begun_thousands;dwellings_under_construction_thousands
1.01.2000;.;.;.;.;.;.;.;.;.;18;20,8;675,2
1.04.2000;.;.;.;.;.;.;.;.;.;16,3;36,7;695,6
1.07.2000;.;.;.;.;.;.;.;.;.;20,5;33,2;708,3
1.10.2000;.;.;.;.;.;.;.;.;.;33;35;710,4
1.01.2001;.;.;.;.;.;.;.;.;.;25,8;17,6;702,2
1.04.2001;.;.;.;.;.;.;.;.;.;21,9;28,8;709,1
1.07.2001;.;.;.;.;.;.;.;.;.;24,2;24,3;709,2
1.10.2001;.;.;.;.;.;.;.;.;.;34,1;43,8;718,8
1.01.2002;189879,4;8077,2;7209,3;26071,9;36779;48550,8;56570,3;173843;24055,9;21,9;16,2;713,1
1.04.2002;198461,7;11087,2;8568,7;26940;35468,5;56235,8;64150,1;172884,9;33491,1;20,9;22,1;714,3
1.07.2002;200992,1;14495,7;7518,8;33156,4;36966,6;63232;69067,5;170543,3;36284,3;19,8;21,7;716,3
1.10.2002;222880,7;19493;8421,7;30045,2;35797,7;65193;72347,9;174344,6;55691;35;16,9;698,2
1.01.2003;194803,2;6571,2;7585,1;27968,6;34759,2;59340,49525;67463,5;175277,8;27648,4;27,7;10,7;681,2
1.04.2003;207707,9;10516,4;9154,9;30381,3;35216,1;67895,89525;72650,1;178073;34389,1;38,7;26;668,5
1.07.2003;208842,8;14323;7703,9;36919,9;36027,5;74673,49525;79808,7;176375,3;37602,7;58,1;26,5;636,9
1.10.2003;235798,2;19569,7;8695,5;36183;36232;80619,59525;85863,7;181378,6;59663,7;38,2;20,5;619,2
1.01.2004;214304,7;6359,8;8754;34723,8;37594,5;71035,6;77774,9;187835,5;33208,5;28,2;17,7;608,7
