yearmon;CPI_inflation_MoM;CPI_inflation_YoY;newly_built_flats_count;nominal_average_monthly_pay
1.01.2000;101,8;110,1;5796;.
1.02.2000;100,9;110,4;6199;.
1.03.2000;100,9;110,3;5977;.
1.04.2000;100,4;109,8;5360;.
1.05.2000;100,7;110;5955;.
1.06.2000;100,8;110,2;4991;.
1.07.2000;100,7;111,6;6463;.
1.08.2000;99,7;110,7;7147;.
1.09.2000;101;110,3;6882;.
1.10.2000;100,8;109,9;8442;.
1.11.2000;100,4;109,3;9086;.
1.12.2000;100,2;108,5;15491;.
1.01.2001;100,8;107,4;9496;.
1.02.2001;100,1;106,6;7815;.
1.03.2001;100,5;106,2;8444;.
1.04.2001;100,8;106,6;8095;.
1.05.2001;101,1;106,9;7064;.
1.06.2001;99,9;106,2;6702;.
1.07.2001;99,7;105,2;8848;.
1.08.2001;99,7;105,1;7962;.
1.09.2001;100,3;104,3;7437;.
1.10.2001;100,4;104;9068;.
1.11.2001;100,1;103,6;10309;.
1.12.2001;100,2;103,6;14727;.
1.01.2002;100,8;103,4;8355;.
1.02.2002;100,1;103,5;7501;.
1.03.2002;100,2;103,3;6007;.
1.04.2002;100,5;103;7709;.
1.05.2002;99,8;101,9;6013;.
1.06.2002;99,6;101,6;7209;.
1.07.2002;99,5;101,3;5975;.
1.08.2002;99,6;101,2;6904;.
1.09.2002;100,3;101,3;6878;.
1.10.2002;100,3;101,1;11023;.
1.11.2002;99,9;100,9;9273;.
1.12.2002;100,1;100,8;14748;.
1.01.2003;100,4;100,5;9607;.
1.02.2003;100,1;100,5;9554;.
1.03.2003;100,3;100,6;8492;.
1.04.2003;100,2;100,3;9573;.
1.05.2003;100;100,4;10524;.
1.06.2003;99,9;100,8;18585;.
1.07.2003;99,6;100,8;43492;.
1.08.2003;99,6;100,7;6458;.
1.09.2003;100,5;100,9;8174;.
1.10.2003;100,6;101,3;9548;.
1.11.2003;100,3;101,6;9214;.
1.12.2003;100,2;101,7;19465;.
1.01.2004;100,4;101,6;11187;.
1.02.2004;100,1;101,6;7557;.
1.03.2004;100,3;101,7;9492;.
1.04.2004;100,8;102,2;8337;.
1.05.2004;101;103,4;7054;.
1.06.2004;100,9;104,4;6602;.
1.07.2004;99,9;104,6;7474;.
1.08.2004;99,6;104,6;7191;.
1.09.2004;100,3;104,4;7138;.
1.10.2004;100,6;104,5;9534;.
1.11.2004;100,3;104,5;9612;.
1.12.2004;100,1;104,4;16939;.
1.01.2005;100,1;103,7;11971;2385,269631
1.02.2005;99,9;103,6;7561;2411,313849
1.03.2005;100,1;103,4;6968;2480,438263
1.04.2005;100,4;103;8926;2471,131859
1.05.2005;100,3;102,5;7287;2423,68598
1.06.2005;99,8;101,4;6718;2512,622454
1.07.2005;99,8;101,3;8838;2506,446287
1.08.2005;99,9;101,6;9594;2480,056485
1.09.2005;100,4;101,8;9519;2483,817232
1.10.2005;100,4;101,6;10095;2538,71391
1.11.2005;99,8;101;10048;2679,401991
1.12.2005;99,8;100,7;16541;2789,080623
1.01.2006;100,2;100,6;10192;2470,936511
1.02.2006;100;100,7;8754;2526,127612
1.03.2006;99,9;100,4;9338;2613,668261
1.04.2006;100,7;100,7;7319;2569,837808
1.05.2006;100,5;100,9;6603;2549,467254
1.06.2006;99,7;100,8;8155;2624,720591
1.07.2006;100;101,1;9545;2647,732816
1.08.2006;100,3;101,6;8508;2611,911038
1.09.2006;100,2;101,6;8167;2611,01009
1.10.2006;100,1;101,2;11241;2658,09
1.11.2006;100;101,4;11541;2759,55
1.12.2006;99,8;101,4;15990;3027,52
1.01.2007;100,4;101,6;10186;2663,16
1.02.2007;100,3;101,9;8717;2686,92
1.03.2007;100,5;102,5;8076;2852,35
1.04.2007;100,5;102,3;8759;2785,93
1.05.2007;100,5;102,3;8408;2776,82
1.06.2007;100;102,6;8682;2868,97
1.07.2007;99,7;102,3;11527;2893,57
1.08.2007;99,6;101,5;11559;2885,47
1.09.2007;100,8;102,3;11038;2858,09
1.10.2007;100,6;103;15983;2950,95
