yearmon;M0_in_mln_of_PLN;M1_in_mln_of_PLN;M2_in_mln_of_PLN;M3_in_mln_of_PLN
1.12.1996;34196,2;67866;140038,7;140428,8
1.01.1997;32391,1;63663;138755,5;139333,9
1.02.1997;34594,4;63625,7;141142,5;141692,2
1.03.1997;37713,5;65497,8;144080,8;144931,6
1.04.1997;36533,3;66635,3;147471,8;148012,8
1.05.1997;39718;69033,2;151110,6;151700,6
1.06.1997;41248,6;71672,3;154073,6;154747,6
1.07.1997;41632,3;74386,6;160056,3;160454,2
1.08.1997;43589;74328,6;162082,2;162408,5
1.09.1997;44113,5;74658,3;164710,2;165037
1.10.1997;43080,2;74854,5;169848,8;170176,5
1.11.1997;46673,5;75283,9;173093,8;173413,4
1.12.1997;42314;79239,8;179378,1;179602,4
1.01.1998;46267;73597,5;177942,6;178239,6
1.02.1998;45238,6;74417;180545,2;180850,5
1.03.1998;44355,1;75621,7;182904,3;183236,3
1.04.1998;46746,6;75681;185780,9;185907,5
1.05.1998;48910,8;78728,6;190926,8;191080,2
1.06.1998;49735,2;81843,5;195272,5;195388,1
1.07.1998;53474;82275,5;199468,2;199705,2
1.08.1998;50766,1;84113,5;204921,5;205133,6
1.09.1998;49720,6;84554,1;206446,6;206639,4
1.10.1998;55542,7;83240,4;207413,3;207605,4
1.11.1998;50523;84619,6;210561,5;210742
1.12.1998;53646,3;89919,5;223678,1;223913,4
1.01.1999;55069,4;88635,8;226255,6;226342,7
1.02.1999;52826,5;91943,2;233296,8;233423,8
1.03.1999;53882,3;95283,3;236660,4;236748,5
1.04.1999;59520,8;93989;236676,3;236784,4
1.05.1999;59325;97092,2;239913,2;240024,5
1.06.1999;59117,5;99567,9;242377;242631,2
1.07.1999;61013,3;100034,6;244091,2;244209,9
1.08.1999;57375,6;101550,2;247353,3;247529,7
1.09.1999;46168,7;103055,2;252022,4;252147,9
1.10.1999;47639,2;106451,2;256819,7;256956,1
1.11.1999;47794,5;105637;261352,7;261500,8
1.12.1999;52806;111383,9;268700,5;268867,8
1.01.2000;44762,1;101145,4;260852,6;261040,5
1.02.2000;41233,2;100853,2;264431,9;264628,1
1.03.2000;45182,6;100392,9;269598,1;269788,1
1.04.2000;49316,7;101326,8;272969,7;273158,8
1.05.2000;47656,4;103253,9;276690,8;276886,4
1.06.2000;51837,2;109322,2;291693,4;291886,9
1.07.2000;53624,8;104920,1;284257,7;284515,7
1.08.2000;50554,4;105440,5;284914,9;285171
1.09.2000;51113,7;103849,1;288852,1;289140,1
1.10.2000;50446,3;103732,6;295448,1;295734,8
1.11.2000;46041,2;104210,8;298750;299052,9
1.12.2000;48773,8;106455,9;300424,1;300757,3
1.01.2001;49683,8;101370,3;298976,5;299239,7
1.02.2001;41545,6;102466,5;303598,9;303883,5
1.03.2001;48268,9;103172,1;309065,8;309465,7
1.04.2001;49688,8;102704;310319;310608,7
1.05.2001;47519,3;104276,5;312736,6;313034,6
1.06.2001;48537,9;105052,6;314724,9;315025,5
1.07.2001;49027,8;108318,9;320801,3;321103,7
1.08.2001;52150,5;108459,7;324636,1;324942
1.09.2001;48275,6;111975,3;326867,5;327153,5
1.10.2001;48756;111830,1;330919,5;331194,7
1.11.2001;54368,5;109387,8;322359,7;322658,1
1.12.2001;59698;119567,9;329469,1;329704,7
1.01.2002;51168,2;112974,3;323454,2;323709,2
1.02.2002;61768,6;116992;326183,5;326410,1
1.03.2002;58045,2;116750,2;320959,4;321319,3
1.04.2002;54841,8;118455,7;319709,6;320083,8
1.05.2002;50943,1;124038,9;324489,5;325187,5
1.06.2002;62766,1;128714,7;324586,7;325076,4
1.07.2002;56806,8;131505,9;327167,1;327462,3
1.08.2002;56757,3;129286,4;326017,5;326290,3
1.09.2002;57462;130679,1;324017,3;324176,7
1.10.2002;59202,6;130450,3;324620,5;324782
1.11.2002;57248,3;134731,7;321562,6;322394,4
1.12.2002;62049,9;140774,9;324346,4;326124,9
1.01.2003;58487,8;134186,1;319758,5;322118,6
1.02.2003;58905,5;137583;323057;325695,5
1.03.2003;60174,6;140974,7;322637,9;325677,6
1.04.2003;62056,9;135464,7;321985;325293,9
1.05.2003;62071,6;142846,1;325064,7;328456,7
1.06.2003;64459,1;151227;327733,1;331497,6
1.07.2003;68019,2;151855,9;327958;331794,9
1.08.2003;61255,7;153307,6;329714,1;333651,9
1.09.2003;66549,5;156679,6;331850,4;335817,5
1.10.2003;67349,6;156265,6;337353,3;341353,4
1.11.2003;61624,3;161242,4;339297,8;341323,2
1.12.2003;66317,7;163158,9;342860,2;345144,8
1.01.2004;58307,4;157691,4;336936;340153,3
1.02.2004;63956,3;161359,2;340271,2;343657,2
1.03.2004;63020,1;166399,6;342096,5;345881
1.04.2004;63527,4;165358,1;350781,3;354586,4
1.05.2004;66238,9;170058,1;346624,7;350766,9
1.06.2004;63817,1;173931,5;350294,5;356641,3
1.07.2004;63463,9;168592,1;349192,6;356086,2
1.08.2004;71271,1;174089,2;353147,2;360115,1
1.09.2004;63232,6;174745,3;352678,3;360297,6
1.10.2004;63864,4;187770,6;372303,2;379604,4
1.11.2004;63717,9;181397,5;359231,3;365982,2
1.12.2004;69172,5;181975,8;368714,1;377534,5
1.01.2005;66502,9;179444,1;366417;377241,5
1.02.2005;67220,3;185595,9;371693,6;382293,9
1.03.2005;68405,6;189897,5;380308,3;391189,6
1.04.2005;69727,9;185688,7;385623,9;397675,7
1.05.2005;71984,8;199174,3;392123;405254,2
1.06.2005;71181,4;198995,2;390159,9;404867,3
1.07.2005;71579,6;197210,9;391150,4;403396,1
1.08.2005;75028;204548,7;397421,8;409919,7
1.09.2005;72243,9;203606,7;401581,2;414133,8
1.10.2005;72682,7;207584,2;407006,5;422359,7
1.11.2005;75162;214577,2;408782,1;421697,3
1.12.2005;70505;220639;415163,5;427125,4
1.01.2006;72154,3;217345,6;410120,2;422119,8
1.02.2006;73856,5;224478,7;417062;431534
1.03.2006;74662,3;222772,8;421150,5;433718,5
1.04.2006;78620,1;222679,1;425273,8;438928,5
1.05.2006;78952,7;237369,4;433601,5;449313,8
1.06.2006;81978,4;240177,1;440505,2;454377,1
1.07.2006;81648,6;246683,8;442798,1;456525,5
1.08.2006;84643,3;248995,3;449012;463246,5
1.09.2006;80643,7;253299,6;454205,8;469492,1
1.10.2006;82634,3;254663,8;459026,7;476372,1
1.11.2006;87648;264100,3;466057;483261,4
1.12.2006;86825,7;275830,9;481210,5;495309,5
1.01.2007;88649,5;277433,8;488060,8;503574,8
1.02.2007;88948,9;284706,5;495376,5;509351,7
1.03.2007;89556,6;286465,8;497294,7;511981,7
1.04.2007;91085,6;285350,5;502083,3;517000,5
1.05.2007;93712,7;293062;504800,5;521236,7
1.06.2007;94199,1;295882;506807;521382,1
1.07.2007;101385;303226,6;511540,9;527692
1.08.2007;97490,6;301053,3;521751,6;538040,6
1.09.2007;94482,6;309745,6;523463;537327,3
1.10.2007;98140,2;302668,1;527874;541941,4
1.11.2007;110604,8;313377,2;536088,9;548955,3
1.12.2007;102669,4;335266,2;549344,3;561623,8
1.01.2008;102067,9;330358,4;556007,7;568643
1.02.2008;98843,2;328720;565582;577956,2
1.03.2008;102185,3;337995,1;570176,5;581823,2
1.04.2008;103998,5;327108,7;581982,7;594317,7
1.05.2008;98618,6;343810,7;589308,5;600136,4
1.06.2008;113698,8;353669;595558,2;606583,1
1.07.2008;108316,3;352889,2;605561,1;616092,6
1.08.2008;108955,1;353017;614791;628647,7
1.09.2008;109681,7;355002;619703,1;630463,7
1.10.2008;128434,8;345536,7;627470,9;635742,4
1.11.2008;125570,7;344880,3;639993,5;648296,5
1.12.2008;126350,2;349943,1;660239,9;666231,3
1.01.2009;124148;341261,2;663028;668851,7
1.02.2009;127823,3;347599,2;674154,7;680923,3
1.03.2009;124291,5;356863,3;678861,3;683678,5
1.04.2009;125702,5;351967,7;675202,1;680025,8
1.05.2009;123895,7;359925,4;680445,2;685393,4
1.06.2009;125379,7;370618,2;687454,6;693693,4
1.07.2009;126376,4;363656,1;682404,8;689427,7
1.08.2009;120014,3;371091,3;678889,8;685391,1
1.09.2009;118817,6;372829,8;685513,8;691267,9
1.10.2009;119433,4;378638,7;698940,7;711193,5
1.11.2009;125267,2;381533,2;694897,4;699860,6
1.12.2009;137506,6;388344,9;714757,8;720232,5
1.01.2010;117604,3;381269,2;705346;711029,2
1.02.2010;114576,9;383426,8;711014,1;715590,9
1.03.2010;114775,8;389585,1;712761,5;721504,9
1.04.2010;119310,1;388314,9;713066,9;721225,8
1.05.2010;121923,1;409020,2;730147,7;737851,9
1.06.2010;124093,1;415238,9;736375,6;742764,2
1.07.2010;123933;414521,5;734376;743271,9
1.08.2010;121994;421048,2;739043,4;749563,6
1.09.2010;123504,9;419209,6;744491,8;752866,4
1.10.2010;131265,1;420153,2;748187,1;756551,7
1.11.2010;119978,1;428822,9;754637,7;763350,1
1.12.2010;139726,8;449192;774657,9;783648,5
1.01.2011;126717,8;436387,9;761148,8;769157,5
1.02.2011;130019,9;444200,8;768891,4;775999,7
1.03.2011;129230,5;458907,9;792669,6;801199
1.04.2011;133080,5;441125,9;779152,3;790249,4
1.05.2011;127285,3;447246,5;783468,5;795501,2
1.06.2011;130379,4;451246,7;788125,2;797345,2
1.07.2011;126119;440541,9;787548,1;799122,5
1.08.2011;137622,7;449241,3;800229,7;815789,6
1.09.2011;148124,2;444752,4;814265,2;829472,9
1.10.2011;145589,6;442059,8;817584,9;835655,5
1.11.2011;136374,5;453161,4;836794;853343,6
1.12.2011;138129,2;468052,6;863745,5;881496,3
1.01.2012;138403,9;461339,2;855202,9;874632,5
1.02.2012;137049,7;455697,2;860213,9;872121,3
1.03.2012;137313,9;454287;859995;874495,8
1.04.2012;155333;448746,6;854927,2;870702,6
1.05.2012;139297,8;464009,3;867102;884150,7
1.06.2012;140323,2;462651,2;868777,9;884720,9
1.07.2012;141418,8;464940,4;869059,2;886873,1
1.08.2012;145083,2;458428,8;872955,4;895533,8
1.09.2012;140875,7;457338,7;874563,2;892680
1.10.2012;138607,4;452795,9;879012,2;902437,5
1.11.2012;140132,4;457413,8;882074,7;901845,5
1.12.2012;167205,2;484813;900336,7;921412,5
1.01.2013;136090,3;476833;895716,8;913439,4
1.02.2013;142827,5;484458,7;904415;920261,1
1.03.2013;148272,5;487392,1;915839,4;932005,5
1.04.2013;150295,3;493721,3;914731,6;935231,3
1.05.2013;150475,3;508299,4;920112,1;941791,1
1.06.2013;144260,3;523782,8;927344,5;946586,4
1.07.2013;155767,4;530665,7;921661,5;945076,8
1.08.2013;153867,2;531124,1;928358,8;949987,6
1.09.2013;166619,9;540873,3;931041,8;947227,6
1.10.2013;154966,5;536236,5;935095,2;955418,7
1.11.2013;153671,6;538836,8;934713,2;953446,3
1.12.2013;164009,5;555835,3;960344,9;978908,2
1.01.2014;161543,9;546487,3;947443,3;962415,6
1.02.2014;158330,1;548032,8;954284,1;968442,3
1.03.2014;173213;558953,9;964623,7;980377,3
1.04.2014;168511,4;548393,7;969753,5;986142,2
1.05.2014;162246,3;557651,2;975000,9;991120
1.06.2014;173096,4;572375,8;980089,5;996171,2
1.07.2014;164008;570506,6;985769,2;1002137,3
1.08.2014;167008,4;574529,4;1003128,4;1020561,1
1.09.2014;166103,6;578485,4;1003354,3;1021824,2
1.10.2014;171649,4;574605,8;1011930,6;1028665,3
1.11.2014;169090;583681,7;1017658,8;1033417,8
1.12.2014;191619,6;606282,7;1044552,9;1059015,3
1.01.2015;171363,1;596572,8;1032424,4;1044747,4
1.02.2015;175715;603439,9;1038760,6;1052746,1
1.03.2015;182099,6;620090,1;1050848,9;1066042,2
1.04.2015;185457,7;612559,5;1043441,6;1055849,2
1.05.2015;176669,8;621988,8;1052741;1065807,8
1.06.2015;196314,4;638624,6;1065897,3;1077727,5
1.07.2015;189609,3;639680,6;1074074,5;1087321,9
1.08.2015;202517,6;652363,7;1083208,7;1094496,9
1.09.2015;185005,3;655895,8;1094310,5;1106539,7
1.10.2015;181423,4;657277,7;1107298,1;1120685,2
1.11.2015;204354,7;676818,1;1118293,7;1130023
1.12.2015;212176,9;692124,4;1145258,8;1154992,6
1.01.2016;203071,1;686587,9;1140951,3;1151171,5
1.02.2016;212404,8;700614,3;1150393,4;1158908,4
