Date,Open,High,Low,Close
2001-01-02,1113,1115,1092,1096
2001-01-03,1109,1113,1098,1104
2001-01-04,1101,1107,1096,1099
2001-01-05,1091,1096,1088,1094
2001-01-08,1100,1107,1098,1100
2001-01-09,1112,1113,1106,1109
2001-01-10,1108,1108,1094,1096
2001-01-11,1089,1094,1083,1087
2001-01-12,1083,1085,1079,1082
2001-01-15,1088,1089,1084,1085
2001-01-16,1078,1087,1075,1078
2001-01-17,1086,1087,1081,1086
2001-01-18,1080,1087,1078,1085
2001-01-19,1088,1095,1085,1087
2001-01-22,1087,1103,1086,1096
2001-01-23,1097,1105,1090,1095
2001-01-24,1099,1100,1087,1091
2001-01-25,1093,1096,1086,1094
2001-01-26,1095,1098,1083,1087
2001-01-30,1079,1094,1078,1090
2001-01-31,1085,1088,1078,1085
2001-02-01,1071,1084,1071,1082
2001-02-02,1079,1081,1072,1076
2001-02-05,1078,1079,1069,1069
2001-02-06,1079,1083,1066,1072
2001-02-07,1068,1071,1063,1066
2001-02-08,1083,1086,1072,1072
2001-02-09,1069,1073,1063,1069
2001-02-12,1058,1068,1058,1061
2001-02-14,1066,1068,1061,1061
2001-02-15,1067,1069,1048,1051
2001-02-16,1045,1059,1036,1057
2001-02-19,1057,1062,1057,1061
2001-02-20,1063,1063,1049,1051
2001-02-21,1064,1077,1063,1074
2001-02-22,1073,1083,1069,1075
2001-02-23,1069,1079,1067,1079
2001-02-26,1074,1096,1074,1094
2001-02-27,1090,1101,1087,1092
2001-02-28,1079,1082,1069,1079
2001-03-01,1062,1065,1054,1056
2001-03-02,1056,1060,1045,1047
2001-03-05,1049,1051,1045,1050
2001-03-06,1043,1045,1031,1034
2001-03-07,1030,1040,1029,1038
2001-03-08,1044,1062,1042,1061
2001-03-09,1061,1079,1056,1079
2001-03-12,1097,1110,1086,1098
2001-03-13,1109,1110,1089,1091
2001-03-14,1091,1100,1069,1071
2001-03-15,1078,1081,1064,1067
2001-03-16,1082,1086,1072,1073
2001-03-19,1074,1085,1071,1080
2001-03-20,1062,1071,1061,1064
2001-03-21,1080,1085,1075,1084
2001-03-22,1093,1093,1086,1090
2001-03-23,1083,1092,1082,1085
2001-03-26,1075,1079,1070,1076
2001-03-27,1079,1082,1073,1075
2001-03-28,1072,1073,1063,1066
2001-03-29,1060,1063,1053,1055
2001-03-30,1059,1062,1052,1055
2001-04-02,1049,1051,1035,1038
2001-04-03,1034,1046,1034,1041
2001-04-04,1037,1052,1037,1043
2001-04-05,1040,1043,1036,1040
2001-04-06,1037,1045,1034,1043
2001-04-09,1036,1041,1029,1030
2001-04-10,1044,1047,1035,1040
2001-04-11,1039,1049,1037,1045
2001-04-12,1035,1044,1034,1041
2001-04-13,1044,1044,1040,1040
2001-04-16,1040,1060,1040,1057
2001-04-17,1062,1063,1048,1052
2001-04-18,1045,1050,1035,1046
2001-04-19,1045,1061,1043,1061
2001-04-20,1064,1064,1056,1061
2001-04-23,1072,1076,1065,1069
2001-04-24,1064,1070,1061,1066
2001-04-25,1059,1061,1050,1052
2001-04-26,1044,1051,1041,1049
2001-04-27,1051,1063,1048,1049
2001-04-30,1046,1047,1043,1046
2001-05-01,1046,1049,1045,1048
2001-05-02,1046,1050,1043,1050
2001-05-03,1048,1056,1046,1051
2001-05-04,1048,1053,1044,1047
2001-05-07,1051,1053,1048,1051
2001-05-08,1050,1050,1044,1046
2001-05-09,1051,1072,1050,1070
2001-05-10,1070,1073,1063,1067
2001-05-11,1078,1081,1072,1073
2001-05-14,1075,1079,1073,1077
2001-05-15,1075,1076,1066,1075
2001-05-16,1067,1083,1066,1081
2001-05-17,1082,1092,1079,1088
2001-05-18,1089,1147,1083,1145
2001-05-21,1137,1186,1126,1137
2001-05-22,1139,1141,1124,1138
2001-05-23,1140,1141,1130,1134
2001-05-24,1136,1154,1106,1118
2001-05-25,1122,1131,1106,1116
2001-05-28,1116,1119,1112,1116
2001-05-29,1123,1126,1104,1107
2001-05-30,1095,1100,1060,1064
2001-05-31,1060,1070,1057,1059
2001-06-01,1060,1068,1058,1065
2001-06-04,1065,1071,1059,1061
2001-06-05,1058,1062,1055,1060
2001-06-06,1066,1070,1063,1066
2001-06-07,1063,1066,1061,1065
2001-06-08,1063,1094,1062,1090
2001-06-11,1087,1089,1061,1066
2001-06-12,1059,1077,1055,1074
2001-06-13,1075,1083,1066,1078
2001-06-14,1076,1094,1069,1089
2001-06-15,1086,1090,1065,1070
2001-06-18,1076,1088,1075,1082
2001-06-19,1085,1095,1083,1089
2001-06-20,1093,1095,1083,1089
2001-06-21,1085,1090,1079,1086
2001-06-22,1081,1093,1077,1080
2001-06-25,1079,1089,1078,1083
2001-06-26,1083,1104,1080,1092
2001-06-27,1089,1096,1071,1074
2001-06-28,1083,1084,1065,1071
2001-06-29,1079,1091,1079,1085
2001-07-02,1084,1085,1073,1079
2001-07-03,1079,1079,1071,1072
2001-07-04,1071,1075,1071,1072
2001-07-05,1082,1083,1070,1072
2001-07-06,1118,1126,1114,1122
2001-07-09,1157,1160,1153,1158
2001-07-10,1173,1177,1170,1171
2001-07-11,1175,1191,1174,1184
2001-07-12,1155,1155,1144,1148
2001-07-13,1134,1138,1131,1136
2001-07-16,1128,1138,1127,1128
2001-07-17,1117,1123,1116,1122
2001-07-18,1136,1149,1135,1146
2001-07-19,1144,1149,1132,1138
2001-07-20,1134,1141,1132,1137
2001-07-23,1135,1135,1130,1130
2001-07-24,1127,1133,1125,1131
2001-07-25,1132,1133,1122,1125
2001-07-26,1122,1125,1113,1116
2001-07-27,1123,1130,1116,1128
2001-07-30,1131,1133,1119,1120
2001-07-31,1129,1137,1128,1135
2001-08-01,1135,1143,1134,1138
2001-08-02,1145,1148,1141,1146
2001-08-03,1133,1138,1127,1135
2001-08-06,1142,1144,1136,1139
2001-08-07,1133,1134,1126,1132
2001-08-08,1128,1134,1123,1131
2001-08-09,1128,1153,1127,1153
2001-08-10,1149,1161,1142,1150
2001-08-13,1159,1175,1159,1168
2001-08-14,1175,1179,1165,1178
2001-08-15,1180,1185,1171,1176
2001-08-16,1181,1185,1176,1178
2001-08-17,1180,1205,1178,1197
